"","Code","MonthYear","VC","MC","VV","MV","N","Sum","Srat"
"250","AG",201010,10,0,0,1,3074,11,0.00357839947950553
"251","AG",201011,11,0,0,5,2500,16,0.0064
"252","AG",201012,1,0,1,1,2161,3,0.001388246182323
"253","AG",201101,1,0,7,7,5131,15,0.00292340674332489
"254","AG",201102,15,3,42,24,5604,84,0.0149892933618844
"255","AG",201103,14,4,6,19,3045,43,0.0141215106732348
"256","AG",201104,30,10,24,20,2924,84,0.0287277701778386
"257","AG",201105,7,1,2,13,2303,23,0.00998697351280938
"258","AG",201106,34,0,15,34,1941,83,0.0427614631633179
"259","AG",201107,17,0,8,30,2149,55,0.0255932992089344
"260","AG",201108,156,56,107,257,5309,576,0.108495008476173
"261","AG",201109,38,32,17,20,4656,107,0.0229810996563574
"262","AG",201110,27,4,6,7,2634,44,0.0167046317388003
"263","AG",201111,6,3,0,9,2423,18,0.00742880726372266
"264","AG",201112,8,1,3,6,1852,18,0.00971922246220302
"265","AG",201201,7,2,0,18,3164,27,0.00853350189633375
"266","AG",201202,7,1,9,20,3814,37,0.00970110120608285
"267","AG",201203,6,1,2,8,5125,17,0.00331707317073171
"268","AG",201204,12,6,7,14,4539,39,0.00859220092531395
"269","AG",201205,35,2,11,11,4043,59,0.0145931239178828
"270","AG",201206,5,0,3,14,2575,22,0.00854368932038835
"271","AG",201207,18,11,3,6,3314,38,0.0114665057332529
"272","AG",201208,9,1,5,4,3188,19,0.00595984943538269
"273","AG",201209,3,1,2,19,2685,25,0.00931098696461825
"274","AG",201210,16,1,7,12,4736,36,0.00760135135135135
"275","AG",201211,27,3,9,17,8239,56,0.00679694137638063
"276","AG",201212,28,7,2,5,5045,42,0.00832507433102081
"277","AO",199001,19,0,3,10,683,32,0.0468521229868228
"278","AO",199002,8,2,2,6,513,18,0.0350877192982456
"279","AO",199003,4,0,5,11,552,20,0.036231884057971
"280","AO",199004,10,0,2,10,389,22,0.0565552699228792
"281","AO",199005,3,1,2,12,442,18,0.0407239819004525
"282","AO",199006,4,2,0,3,281,9,0.0320284697508897
"283","AO",199007,9,0,1,2,329,12,0.0364741641337386
"284","AO",199008,2,0,0,1,273,3,0.010989010989011
"285","AO",199009,5,0,1,1,364,7,0.0192307692307692
"286","AO",199010,8,0,1,9,437,18,0.0411899313501144
"287","AO",199011,10,3,2,10,339,25,0.0737463126843658
"288","AO",199012,7,0,3,9,504,19,0.0376984126984127
"289","AO",199101,3,0,0,1,402,4,0.00995024875621891
"290","AO",199102,8,1,0,1,416,10,0.0240384615384615
"291","AO",199103,0,0,0,4,267,4,0.0149812734082397
"292","AO",199104,1,0,1,2,388,4,0.0103092783505155
"293","AO",199105,44,6,3,14,1215,67,0.0551440329218107
"294","AO",199106,19,2,1,0,763,22,0.0288335517693316
"295","AO",199107,5,0,0,3,423,8,0.0189125295508274
"296","AO",199108,12,1,2,0,270,15,0.0555555555555556
"297","AO",199109,15,3,4,1,644,23,0.0357142857142857
"298","AO",199110,2,0,1,1,503,4,0.00795228628230616
"299","AO",199111,6,3,4,2,440,15,0.0340909090909091
"300","AO",199112,0,0,0,1,529,1,0.00189035916824197
"301","AO",199201,5,0,4,3,549,12,0.0218579234972678
"302","AO",199202,2,0,0,0,287,2,0.00696864111498258
"303","AO",199203,1,0,4,1,545,6,0.0110091743119266
"304","AO",199204,4,1,5,0,518,10,0.0193050193050193
"305","AO",199205,7,0,1,0,358,8,0.0223463687150838
"306","AO",199206,6,4,2,2,637,14,0.021978021978022
"307","AO",199207,5,0,0,3,413,8,0.0193704600484262
"308","AO",199208,6,0,1,0,470,7,0.0148936170212766
"309","AO",199209,17,0,7,10,613,34,0.0554649265905383
"310","AO",199210,15,2,12,1,1202,30,0.0249584026622296
"311","AO",199211,21,4,6,16,1562,47,0.030089628681178
"312","AO",199212,16,6,6,5,1375,33,0.024
"313","AO",199301,26,4,24,71,1772,125,0.0705417607223476
"314","AO",199302,21,3,4,29,1215,57,0.0469135802469136
"315","AO",199303,19,4,12,49,1336,84,0.062874251497006
"316","AO",199304,22,4,5,13,696,44,0.0632183908045977
"317","AO",199305,29,7,15,31,1039,82,0.0789220404234841
"318","AO",199306,15,1,2,27,1115,45,0.0403587443946188
"319","AO",199307,5,2,3,37,861,47,0.0545876887340302
"320","AO",199308,17,15,5,20,824,57,0.0691747572815534
"321","AO",199309,23,2,5,24,850,54,0.0635294117647059
"322","AO",199310,23,6,2,18,1172,49,0.0418088737201365
"323","AO",199311,12,0,1,15,482,28,0.0580912863070539
"324","AO",199312,18,4,4,9,650,35,0.0538461538461538
"325","AO",199401,20,1,1,13,1017,35,0.0344149459193707
"326","AO",199402,21,4,14,39,931,78,0.083780880773362
"327","AO",199403,13,4,0,15,586,32,0.0546075085324232
"328","AO",199404,8,4,0,11,418,23,0.0550239234449761
"329","AO",199405,8,2,2,7,572,19,0.0332167832167832
"330","AO",199406,23,4,4,27,954,58,0.0607966457023061
"331","AO",199407,14,4,3,12,900,33,0.0366666666666667
"332","AO",199408,12,1,2,6,445,21,0.0471910112359551
"333","AO",199409,10,2,4,10,725,26,0.0358620689655172
"334","AO",199410,15,3,11,23,931,52,0.0558539205155747
"335","AO",199411,180,16,31,71,3315,298,0.089894419306184
"336","AO",199412,20,2,5,11,833,38,0.0456182472989196
"337","AO",199501,23,3,4,16,1023,46,0.0449657869012708
"338","AO",199502,19,2,3,2,903,26,0.0287929125138427
"339","AO",199503,16,0,4,21,1038,41,0.0394990366088632
"340","AO",199504,8,0,1,4,743,13,0.0174966352624495
