"Code","MonthYear","VC","MC","VV","MV"
"AO",199611,6,3,0,2
"AO",199612,3,2,0,10
"AO",199701,13,2,3,7
"AO",199702,7,2,4,10
"AO",199703,11,3,8,11
"AO",199704,17,2,1,11
"AO",199705,58,3,21,17
"AO",199706,6,1,2,6
"AO",199707,8,0,3,2
"AO",199708,8,0,3,3
"AO",199709,4,0,1,0
"AO",199710,29,8,6,10
"AO",199711,10,1,1,6
"AO",199712,2,1,1,2
"AO",199801,8,0,3,4
"AO",199802,2,0,5,9
"AO",199803,5,3,1,3
"AO",199804,10,0,3,1
"AO",199805,4,3,7,2
"AO",199806,4,0,1,6
"AO",199807,10,2,3,4
"AO",199808,65,13,32,68
"AO",199809,133,11,32,52
"AO",199810,45,2,6,34
"AO",199811,58,0,19,16
"AO",199812,53,6,13,107
"AO",199901,72,14,24,79
"AO",199902,29,2,8,26
"AO",199903,48,3,17,58
"AO",199904,35,5,10,38
"AO",199905,32,5,9,23
"AO",199906,12,1,6,26
"AO",199907,71,13,22,73
"AO",199908,48,6,17,63
"AO",199909,16,4,9,33
"AO",199910,29,5,11,8
"AO",199911,38,16,8,9
"AO",199912,25,6,17,30
"AO",200001,41,12,17,35
"AO",200002,28,10,11,34
"AO",200003,16,8,14,15
"AO",200004,19,10,11,18
"AO",200005,7,4,4,12
"AO",200006,32,9,8,29
"AO",200007,13,2,7,19
"AO",200008,19,2,6,38
"AO",200009,10,1,4,49
"AO",200010,37,4,4,25
"AO",200011,25,9,7,55
"AO",200012,14,8,15,34
"AO",200101,26,9,13,10
"AO",200102,27,14,12,34
"AO",200103,36,19,12,31
"AO",200104,39,20,15,23
"AO",200105,29,29,11,70
"AO",200106,32,11,13,63
"AO",200107,21,11,13,24
"AO",200108,26,5,11,60
"AO",200109,13,2,11,37
"AO",200110,22,9,6,33
"AO",200111,16,10,6,6
"AO",200112,12,8,1,12
"AO",200201,28,12,0,16
"AO",200202,53,9,28,60
"AO",200203,79,15,8,49
"AO",200204,38,9,5,8
"AO",200205,15,5,5,2
"AO",200206,17,7,2,4
"AO",200207,15,8,0,7
"AO",200208,14,1,4,4
"AO",200209,28,1,2,8
"AO",200210,39,12,10,14
"AO",200211,11,2,7,4
"AO",200212,10,2,3,5
"AO",200301,2,2,0,2
"AO",200302,10,1,4,2
"AO",200303,3,0,4,0
"AO",200304,14,3,0,1
"AO",200305,10,1,1,1
"AO",200306,22,0,2,4
"AO",200307,8,3,1,1
"AO",200308,1,0,2,3
"AO",200309,5,0,0,0
"AO",200310,5,0,0,0
"AO",200311,5,0,0,3
"AO",200312,1,0,0,1
"AO",200401,0,4,0,1
"AO",200402,3,0,1,0
"AO",200403,6,0,2,8
"AO",200404,1,0,0,1
"AO",200405,1,0,3,2
"AO",200406,2,1,2,1
"AO",200407,1,0,0,1
"AO",200408,5,2,1,4
"AO",200409,13,0,0,8
"AO",200410,10,0,1,0
"AO",200411,2,2,1,0
"AO",200412,1,1,1,3
"AO",200501,3,0,0,0
"AO",200502,1,0,1,3
"AO",200503,2,0,3,3
"AO",200504,2,0,0,2
"AO",200505,1,0,0,3
"AO",200506,1,2,0,0
"AO",200507,0,0,0,1
"AO",200508,0,1,0,0
"AO",200509,5,0,0,1
"AO",200510,4,0,2,1
"AO",200511,1,0,0,1
"AO",200512,3,0,0,4
"AO",200601,0,0,0,0
"AO",200602,0,0,1,0
"AO",200603,0,0,0,0
"AO",200604,2,0,0,1
"AO",200605,5,0,1,1
"AO",200606,7,0,1,1
"AO",200607,16,4,2,3
"AO",200608,23,0,5,0
"AO",200609,2,0,0,1
"AO",200610,3,1,0,1
"AO",200611,2,0,1,0
"AO",200612,4,0,0,0
"AO",200701,2,5,0,0
"AO",200702,7,0,0,0
"AO",200703,0,0,0,0
"AO",200704,3,0,0,3
"AO",200705,1,0,0,0
"AO",200706,3,0,0,3
"AO",200707,1,0,1,0
"AO",200708,4,0,1,1
"AO",200709,2,0,0,2
"AO",200710,2,0,0,0
"AO",200711,3,6,4,0
