"Z","Lat","Lon"
1,-1.3532,30.1928
75,-1.35389,29.6983
9,-1.35611,15.9506
4,-1.36175,36.6566
4,-1.3649,29.7477
1,-1.3665,29.7801
7,-1.36667,23.8833
2,-1.36667,28.5833
1,-1.36667,36.8333
1,-1.36667,37.4333
2,-1.36696,38.0106
7,-1.37151,29.7212
1,-1.3719,29.7888
7,-1.38253,30.2412
12,-1.38333,26.1333
327,-1.38333,29.6333
1,-1.38333,37.25
38,-1.3844,29.644
6,-1.38861,16.3083
11,-1.3915,30.0867
2,-1.39889,28.8133
11,-1.4,22.4333
1,-1.40083,30.8789
1,-1.4049,29.7586
7,-1.4065,29.783
8,-1.4079,29.8313
9,-1.41306,29.3731
69,-1.41556,28.0572
1,-1.41667,26.6333
2,-1.41667,29.95
3,-1.42122,36.6887
10,-1.4213,29.647
2,-1.4271,30.036
1,-1.4375,31.1736
16,-1.44017,40.023
18,-1.4426,29.5902
1,-1.4454,30.1443
2,-1.45071,36.9824
2,-1.4548,29.6964
1,-1.4615,29.7411
4,-1.4623,29.5799
1,-1.47394,29.8347
140,-1.4746,29.9336
8,-1.47461,30.0024
8,-1.47872,40.0353
2,-1.4854,29.9696
1,-1.4886,29.9304
2,-1.4971,29.8001
5,-1.5,29.5
6,-1.5,39.5
8,-1.5009,30.0021
11,-1.5012,29.7099
5,-1.50763,29.6066
93,-1.51667,37.2667
1,-1.523,29.3587
7,-1.5238,30.6591
93,-1.5345,29.8591
59,-1.5428,29.6121
4,-1.5432,30.0523
1,-1.55,37.3167
7,-1.5706,30.1995
1,-1.574,29.6343
44,-1.5763,30.0675
3,-1.5772,30.0382
1,-1.57835,29.3877
1,-1.5785,29.7092
12,-1.58194,15.9797
2,-1.5827,29.3325
11,-1.58278,28.9861
1,-1.5836,29.4105
1,-1.5845,29.451
1,-1.5916,29.8218
2,-1.59185,30.4554
2,-1.5946,30.2251
1,-1.59483,40.5163
21,-1.59572,30.3206
1,-1.5975,30.0692
1,-1.6,39.2
49,-1.60143,29.3918
2,-1.6089,30.1575
1,-1.6096,29.9756
5,-1.61112,29.4969
8,-1.61361,29.0231
3,-1.622,29.46
1,-1.6288,29.627
1,-1.63022,29.4098
4,-1.63333,29.1833
26,-1.63772,41.5866
51,-1.64139,41.5929
1,-1.6419,29.7368
54,-1.6472,30.1599
9,-1.6503,29.5718
2,-1.65333,29.88
6,-1.6541,29.277
13,-1.6544,29.3577
1,-1.65755,41.5604
2,-1.66056,15.3097
3,-1.6613,29.27
32,-1.6731,29.2802
1,-1.6779,29.3614
700,-1.67917,29.2228
1,-1.6796,30.6209
3,-1.6805,29.6861
10,-1.68126,29.3293
1,-1.68333,30.5
2,-1.68333,37.3667
1,-1.6859,29.3225
2,-1.6862,30.1867
2,-1.6884,29.2731
3,-1.6887,29.8885
1,-1.6888,29.2589
12,-1.6907,29.263
30,-1.69306,28.8022
2,-1.6934,29.9507
2,-1.6965,29.6591
26,-1.69714,29.3517
11,-1.7,29.561
2,-1.7003,29.7146
2,-1.7037,30.2714
4,-1.7058,29.2988
31,-1.7075,29.0181
6,-1.71528,28.5906
1,-1.71667,38.25
8,-1.73205,40.0896
2,-1.7324,30.266
2,-1.73695,37.4903
1,-1.73806,30.8939
4,-1.74061,41.492
6,-1.75,30.5
3,-1.7519,30.203
1,-1.7592,29.8375
6,-1.7618,30.1884
1,-1.76667,33.9667
8,-1.7674,29.958
10,-1.769,29.3294
1,-1.7698,29.9027
2,-1.7717,30.0132
24,-1.7728,29.3573
1,-1.77583,40.8375
1,-1.7807,30.285
1,-1.78333,17.6833
2,-1.7858,29.8894
1,-1.7908,29.988
1,-1.7921,29.8852
3,-1.79385,30.1405
3,-1.7975,29.7887
1,-1.7991,29.3177
1,-1.8,37.3333
2,-1.801,29.7624
10,-1.8081,30.255
1,-1.8128,30.1127
4,-1.81667,29.6667
3,-1.8207,30.0469
2,-1.8244,30.5175
1,-1.82444,14.8883
6,-1.82894,29.9055
1,-1.83333,33.4
3,-1.8355,29.9964
85,-1.8455,29.7409
3,-1.85238,36.7768
14,-1.8537,29.3212
6,-1.8656,29.9606
1,-1.8711,29.8954
1,-1.88289,29.7534
