"Code","MonthYear","1","2","3","4"
"AO",199306,12,6,7,19
"AO",199307,12,9,13,19
"AO",199308,28,11,26,28
"AO",199309,32,3,16,16
"AO",199310,37,5,16,9
"AO",199311,14,0,1,3
"AO",199312,17,2,6,10
"AO",199401,12,5,7,13
"AO",199402,24,6,9,32
"AO",199403,9,0,0,1
"AO",199404,8,1,1,8
"AO",199405,10,1,0,5
"AO",199406,38,5,2,26
"AO",199407,23,3,2,6
"AO",199408,8,0,4,16
"AO",199409,8,5,2,6
"AO",199410,24,6,3,16
"AO",199411,141,13,32,80
"AO",199412,11,3,1,5
"AO",199501,17,3,4,4
"AO",199502,24,7,6,3
"AO",199503,12,0,5,5
"AO",199504,9,0,1,4
"AO",199505,24,1,5,7
"AO",199506,30,0,1,1
"AO",199507,18,4,1,3
"AO",199508,17,1,1,3
"AO",199509,8,6,1,2
"AO",199510,9,0,1,0
"AO",199511,13,0,2,0
"AO",199512,7,1,8,8
"AO",199601,27,2,2,2
"AO",199602,8,6,0,6
"AO",199603,3,1,0,0
"AO",199604,2,1,0,1
"AO",199605,10,0,1,2
"AO",199606,4,0,0,5
"AO",199607,4,2,0,8
"AO",199608,3,0,2,0
"AO",199609,1,0,1,4
"AO",199610,4,0,1,0
"AO",199611,7,4,0,1
"AO",199612,7,0,1,5
"AO",199701,15,1,5,3
"AO",199702,2,0,1,3
"AO",199703,8,8,3,8
"AO",199704,22,6,7,2
"AO",199705,57,16,6,11
"AO",199706,10,3,1,11
"AO",199707,12,0,1,5
"AO",199708,11,0,2,3
"AO",199709,1,1,1,3
"AO",199710,29,3,4,10
"AO",199711,9,0,2,1
"AO",199712,1,1,3,2
"AO",199801,11,2,2,8
"AO",199802,4,1,4,3
"AO",199803,9,1,0,0
"AO",199804,22,0,0,2
"AO",199805,7,4,7,4
"AO",199806,7,1,4,11
"AO",199807,17,0,14,5
"AO",199808,80,38,48,90
"AO",199809,79,18,26,71
"AO",199810,40,12,10,40
"AO",199811,44,3,25,22
"AO",199812,66,19,26,88
"AO",199901,107,22,64,105
"AO",199902,38,10,16,46
"AO",199903,59,11,31,51
"AO",199904,27,5,24,48
"AO",199905,26,8,12,14
"AO",199906,30,6,9,28
"AO",199907,61,11,24,51
"AO",199908,60,8,32,48
"AO",199909,34,5,11,50
"AO",199910,33,4,9,26
"AO",199911,45,11,22,26
"AO",199912,42,17,26,34
"AO",200001,38,8,42,51
"AO",200002,25,3,8,54
"AO",200003,22,6,5,31
"AO",200004,28,3,9,16
"AO",200005,15,3,9,18
"AO",200006,39,18,13,15
"AO",200007,20,1,13,12
"AO",200008,28,11,19,31
"AO",200009,11,5,13,27
"AO",200010,22,13,13,15
"AO",200011,43,6,21,24
"AO",200012,17,6,5,29
"AO",200101,55,10,19,35
"AO",200102,33,7,11,27
"AO",200103,56,8,25,44
"AO",200104,35,24,11,16
"AO",200105,37,30,20,47
"AO",200106,50,10,29,46
"AO",200107,40,14,9,21
"AO",200108,41,5,25,73
"AO",200109,14,8,22,39
"AO",200110,25,11,9,25
"AO",200111,26,8,7,25
"AO",200112,23,5,8,17
"AO",200201,34,7,5,28
"AO",200202,81,13,26,72
"AO",200203,88,16,7,51
"AO",200204,44,16,8,13
"AO",200205,19,10,2,5
"AO",200206,22,10,3,3
"AO",200207,22,9,17,3
"AO",200208,22,3,3,8
"AO",200209,19,1,1,8
"AO",200210,37,7,3,24
"AO",200211,13,3,5,5
"AO",200212,14,2,12,10
"AO",200301,6,0,0,1
"AO",200302,20,3,1,2
"AO",200303,15,0,6,1
"AO",200304,12,1,10,0
"AO",200305,13,0,3,1
"AO",200306,34,4,7,1
"AO",200307,11,2,1,2
"AO",200308,1,1,3,3
"AO",200309,2,0,1,0
"AO",200310,3,0,0,1
"AO",200311,5,1,11,2
"AO",200312,4,0,2,1
"AO",200401,1,0,0,2
"AO",200402,7,1,0,1
"AO",200403,7,0,0,7
"AO",200404,1,0,1,4
"AO",200405,5,2,2,2
"AO",200406,3,2,2,3
"AO",200407,1,1,1,1
"AO",200408,4,0,2,4
"AO",200409,4,1,0,4
"AO",200410,6,1,1,1
"AO",200411,2,0,0,0
"AO",200412,0,2,0,0
"AO",200501,0,0,0,0
"AO",200502,5,0,0,2
"AO",200503,2,0,0,1
"AO",200504,1,0,0,0
"AO",200505,1,0,0,3
"AO",200506,0,0,0,0
"AO",200507,1,0,0,1
"AO",200508,1,0,0,1
"AO",200509,4,0,0,0
"AO",200510,6,1,0,1
"AO",200511,0,1,1,3
"AO",200512,2,0,0,0
"AO",200601,1,0,0,0
"AO",200602,1,0,0,0
"AO",200603,0,0,0,0
"AO",200604,4,2,0,1
"AO",200605,5,0,1,1
"AO",200606,10,3,2,0
"AO",200607,20,1,7,0
"AO",200608,29,0,4,5
"AO",200609,3,1,1,4
"AO",200610,3,3,0,1
"AO",200611,3,1,0,1
"AO",200612,3,0,0,2
"AO",200701,1,3,0,0
"AO",200702,7,0,0,1
"AO",200703,0,0,0,0
"AO",200704,4,1,1,0
"AO",200705,1,0,0,0
"AO",200706,4,0,0,0
"AO",200707,1,0,1,0
"AO",200708,4,0,1,0
"AO",200709,2,0,0,10
"AO",200710,2,0,0,4
"AO",200711,2,0,0,0
"AO",200712,0,1,0,1
"AO",200801,3,2,4,4
"AO",200802,1,1,0,1
"AO",200803,2,0,3,1
"AO",200804,3,4,1,1
"AO",200805,3,2,1,0
"AO",200806,0,0,1,1
"AO",200807,3,0,0,0
"AO",200808,2,0,2,0
"AO",200809,13,0,6,5
"AO",200810,10,7,2,4
"AO",200811,48,7,21,39
"AO",200812,4,4,6,3
"AO",200901,0,0,0,0
"AO",200902,3,5,3,6
"AO",200903,3,2,0,0
"AO",200904,0,0,0,10
"AO",200905,0,0,0,1
"AO",200906,0,0,4,6
"AO",200907,6,9,1,6
"AO",200908,10,5,3,15
"AO",200909,3,0,2,1
"AO",200910,4,0,3,1
"AO",200911,7,0,0,1
"AO",200912,0,10,0,0
"AO",201001,2,2,0,3
"AO",201002,1,0,0,1
"AO",201003,0,0,0,0
"AO",201004,1,0,0,0
"AO",201005,0,1,0,0
