"","Code","MonthYear","1","2","3","4"
"402","AO",199806,1,0,1,4
"403","AO",199807,6,2,0,4
"404","AO",199808,59,13,29,63
"405","AO",199809,84,10,29,46
"406","AO",199810,42,1,6,32
"407","AO",199811,43,0,18,15
"408","AO",199812,46,5,12,98
"409","AO",199901,58,8,22,73
"410","AO",199902,22,2,8,21
"411","AO",199903,21,3,13,55
"412","AO",199904,22,4,8,28
"413","AO",199905,27,5,2,21
"414","AO",199906,11,1,6,20
"415","AO",199907,44,11,17,70
"416","AO",199908,35,6,12,60
"417","AO",199909,13,4,3,31
"418","AO",199910,21,3,9,7
"419","AO",199911,27,13,5,9
"420","AO",199912,23,6,13,24
"421","AO",200001,23,9,15,26
"422","AO",200002,20,8,10,32
"423","AO",200003,13,8,8,13
"424","AO",200004,14,6,7,15
"425","AO",200005,4,3,2,10
"426","AO",200006,19,5,4,24
"427","AO",200007,6,2,4,15
"428","AO",200008,13,2,6,36
"429","AO",200009,5,1,3,42
"430","AO",200010,26,1,4,23
"431","AO",200011,18,9,6,48
"432","AO",200012,8,7,12,27
"433","AO",200101,21,9,10,7
"434","AO",200102,21,9,7,28
"435","AO",200103,32,15,9,25
"436","AO",200104,30,12,15,19
"437","AO",200105,21,21,7,56
"438","AO",200106,29,11,13,58
"439","AO",200107,14,10,10,23
"440","AO",200108,16,5,6,56
"441","AO",200109,8,2,10,34
"442","AO",200110,14,8,6,31
"443","AO",200111,13,7,5,6
"444","AO",200112,6,5,1,12
"445","AO",200201,19,11,0,13
"446","AO",200202,43,7,23,48
"447","AO",200203,72,15,6,40
"448","AO",200204,31,9,4,7
"449","AO",200205,14,5,3,2
"450","AO",200206,15,7,1,3
"451","AO",200207,9,5,0,7
"452","AO",200208,11,1,4,4
"453","AO",200209,25,1,2,6
"454","AO",200210,35,12,10,9
"455","AO",200211,10,2,5,4
"456","AO",200212,8,2,2,4
"457","AO",200301,1,2,0,2
"458","AO",200302,5,1,4,2
"459","AO",200303,1,0,4,0
"460","AO",200304,14,3,0,1
"461","AO",200305,9,1,1,1
"462","AO",200306,10,0,1,4
"463","AO",200307,6,3,0,1
"464","AO",200308,1,0,2,3
"465","AO",200309,5,0,0,0
"466","AO",200310,4,0,0,0
"467","AO",200311,2,0,0,3
"468","AO",200312,0,0,0,1
"469","AO",200401,0,4,0,1
"470","AO",200402,1,0,0,0
"471","AO",200403,3,0,2,7
"472","AO",200404,0,0,0,1
"473","AO",200405,0,0,3,0
"474","AO",200406,1,1,1,1
"475","AO",200407,1,0,0,1
"476","AO",200408,3,1,0,2
"477","AO",200409,10,0,0,5
"478","AO",200410,7,0,0,0
"479","AO",200411,1,2,0,0
"480","AO",200412,0,1,1,1
"481","AO",200501,1,0,0,0
"482","AO",200502,0,0,1,3
"483","AO",200503,2,0,1,2
"484","AO",200504,2,0,0,2
"485","AO",200505,1,0,0,2
"486","AO",200506,1,2,0,0
"487","AO",200507,0,0,0,1
"488","AO",200508,0,1,0,0
"489","AO",200509,4,0,0,1
"490","AO",200510,3,0,2,1
"491","AO",200511,1,0,0,1
"492","AO",200512,3,0,0,4
"493","AO",200601,NA,NA,NA,NA
"494","AO",200602,0,0,1,0
"495","AO",200603,NA,NA,NA,NA
"496","AO",200604,2,0,0,1
"497","AO",200605,0,0,1,1
"498","AO",200606,3,0,1,1
"499","AO",200607,15,4,2,3
"500","AO",200608,21,0,5,0
"501","AO",200609,2,0,0,1
"502","AO",200610,3,1,0,1
"503","AO",200611,2,0,0,0
"504","AO",200612,4,0,0,0
"505","AO",200701,2,5,0,0
"506","AO",200702,2,0,0,0
"507","AO",200703,NA,NA,NA,NA
"508","AO",200704,2,0,0,3
"509","AO",200705,1,0,0,0
"510","AO",200706,3,0,0,3
"511","AO",200707,0,0,1,0
"512","AO",200708,4,0,1,1
"513","AO",200709,2,0,0,2
"514","AO",200710,2,0,0,0
"515","AO",200711,3,6,4,0
"516","AO",200712,0,0,1,0
"517","AO",200801,9,3,3,2
"518","AO",200802,2,0,2,0
"519","AO",200803,NA,NA,NA,NA
"520","AO",200804,5,0,0,0
"521","AO",200805,3,0,0,0
"522","AO",200806,1,0,0,0
"523","AO",200807,5,1,1,2
"524","AO",200808,1,0,0,2
"525","AO",200809,1,0,2,0
"526","AO",200810,8,3,4,2
"527","AO",200811,48,13,22,37
"528","AO",200812,0,1,2,2
"529","AO",200901,NA,NA,NA,NA
"530","AO",200902,3,4,0,5
"531","AO",200903,2,0,0,1
"532","AO",200904,0,0,0,7
"533","AO",200905,NA,NA,NA,NA
"534","AO",200906,1,1,2,2
"535","AO",200907,1,0,0,4
"536","AO",200908,11,0,4,8
"537","AO",200909,0,14,0,4
"538","AO",200910,1,0,4,0
"539","AO",200911,2,0,1,2
"540","AO",200912,NA,NA,NA,NA
"541","AO",201001,3,1,0,1
"542","AO",201002,NA,NA,NA,NA
"543","AO",201003,NA,NA,NA,NA
"544","AO",201004,NA,NA,NA,NA
"545","AO",201005,2,1,4,1
"546","AO",201006,NA,NA,NA,NA
"547","AO",201007,1,0,0,0
"548","AO",201008,2,0,1,0
"549","AO",201009,0,0,4,2
"550","AO",201010,1,0,5,0
"551","AO",201011,2,0,0,0
"552","AO",201012,6,2,0,0
"553","AO",201101,0,0,1,0
"554","AO",201102,3,0,0,2
"555","AO",201103,1,0,0,6
